Titulo1= A.1 População Total
Titulo2=População por Ano segundo Capital
Rodape=Período:1990-2012
Nomemapa=c:\tabwin\ncapital.map
"Capital";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Porto Velho";272433;287534;276110;296773;308608;320147;294227;299893;304584;309748;334661;342264;347844;353961;366829;373917;380974;387964;379186;383425;428527;435732;442701
"Rio Branco";189486;197376;191557;195943;199965;203890;228857;240390;249988;259534;253059;261430;267740;274555;297298;305731;314130;322449;301398;305951;336038;342299;348354
"Manaus";972868;1011501;1037941;1078277;1103539;1128176;1157357;1193727;1224361;1255047;1405835;1451958;1488805;1527314;1600652;1644690;1688526;1731993;1709010;1738641;1802014;1832424;1861838
"Boa Vista";135148;144249;148104;159978;167066;173980;165518;158872;163023;167186;200568;208514;214541;221027;234664;242179;249652;257072;260930;266901;284313;290741;296959
"Belém";1214077;1244689;1092220;1297592;1327308;1356285;1144312;1160181;1173533;1186928;1280614;1304314;1322683;1342202;1383249;1405871;1428369;1450697;1424124;1437604;1393399;1402056;1410430
"Macapá";173023;179777;177877;179272;184389;189373;220962;233925;244971;256036;283308;295898;306583;318761;342390;355408;368363;381215;359020;366486;398204;407023;415554
"Palmas";22268;24334;35531;47561;48567;49366;86116;99446;110667;121919;137355;150884;161137;172176;195380;208165;220890;233516;184010;188642;228332;235316;242070
"São Luís";672102;696371;711691;738326;748786;758983;780833;801895;819639;837589;870028;889129;906567;923526;959184;978824;998387;1017774;986826;997093;1014837;1027430;1039610
"Teresina";577502;599272;609467;636902;645098;653094;655473;668266;680044;691942;715360;728881;740016;751464;775514;788773;801971;815061;802416;802565;814230;822364;830231
"Fortaleza";1723320;1768637;1804360;1846950;1870422;1893312;1965513;2014601;2055962;2097757;2141402;2183612;2219837;2256233;2332776;2374944;2416917;2458545;2473614;2505554;2452185;2476589;2500194
"Natal";588207;606887;615791;639161;649357;659302;656037;668293;678625;688955;712317;722144;734505;744794;766115;778040;789895;801665;798065;806203;803739;810780;817590
"João Pessoa";481120;497600;506980;526086;531431;536639;549363;562274;573142;584032;597934;607441;619049;628838;649446;660798;672080;683278;693082;702234;723515;733155;742478
"Recife";1288607;1298229;1306897;1314859;1328553;1341913;1346045;1357970;1368010;1378089;1422905;1437190;1449135;1461320;1486911;1501008;1515051;1528971;1549980;1561663;1537704;1546516;1555039
"Maceió";606459;629041;646105;668072;678595;688857;723142;746710;766500;786292;797759;817444;833261;849734;884378;903463;922460;941294;924143;936313;932748;943110;953393
"Aracaju";391607;402341;407033;420901;428263;435449;428194;434636;440074;445555;461534;468297;473991;479767;491925;498619;505283;511891;536785;544039;571149;579563;587701
"Salvador";2018105;2075273;2099971;2174072;2207057;2239224;2211539;2245523;2274137;2302834;2443107;2485702;2520504;2556429;2631944;2673560;2714020;2754946;2948733;2998058;2675656;2693606;2710968
"Belo Horizonte";1996637;2020161;2033077;2060806;2084100;2106819;2091371;2109223;2124176;2139125;2238526;2258857;2284468;2305812;2350632;2375329;2467529;2424292;2434642;2452612;2375151;2385640;2395785
"Vitória";253758;258777;260064;267449;271866;276167;265874;267647;269136;270627;292304;296012;299357;302633;309517;313312;317086;320822;317817;320153;327801;330526;333162
"Rio de Janeiro";5442424;5480768;5493603;5547030;5596712;5645166;5551538;5569181;5584048;5598955;5857904;5897485;5937253;5974081;6051520;6094183;6136653;6178762;6161047;6186713;6320446;6355949;6390290
"São Paulo";9532859;9646185;9681178;9842058;9994168;10142505;9839066;9887616;9928219;9968485;10434252;10499133;10600060;10677019;10838832;10927985;11016701;11104715;10990249;11037590;11253503;11316119;11376685
"Curitiba";1286527;1315035;1344253;1364321;1374365;1384164;1476253;1516468;1550315;1584232;1587315;1620219;1644600;1671194;1727098;1757904;1788559;1818950;1828092;1851213;1751907;1764541;1776761
"Florianópolis";248744;255390;258276;266859;270864;274776;271281;275240;278574;281930;342315;352401;360601;369102;386933;396778;406564;416267;402346;408163;421240;427298;433158
"Porto Alegre";1249845;1263403;1258623;1280114;1294506;1308538;1288879;1298108;1305869;1314033;1360590;1373313;1383454;1394085;1416402;1428696;1440941;1453075;1430220;1436124;1409351;1413094;1416714
"Campo Grande";503093;526126;539532;565945;575635;585098;600069;618510;634030;649595;663621;679281;692549;705975;734208;749768;767069;780593;747189;755104;786797;796252;805397
"Cuiabá";383817;402813;408348;435647;449364;462740;433355;440971;447393;453815;483346;492894;500288;508156;524692;533800;542859;551857;544737;550562;551098;556299;561329
"Goiânia";901769;922222;936975;957566;973477;988993;1003477;1022758;1039928;1056330;1093007;1111622;1129274;1146106;1181501;1201006;1220415;1239651;1265394;1281973;1302001;1318149;1333767
"Brasília";1559403;1601094;1641125;1673152;1705889;1737813;1821946;1877015;1923404;1969867;2051146;2097447;2145839;2189789;2282198;2333108;2383788;2434033;2557158;2606884;2570160;2609998;2648532
"Total";34685208;35355085;35522689;36481672;37017950;37540769;37256597;37769339;38212352;38656437;40462072;41033766;41583941;42106053;43202188;43805859;44475132;45001348;45010213;45428463;45466045;45852569;46226690
